,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),Ivdd (A),Ivdd1v8 (A)
0,40,0,0,0,14,32.768,169508,10.59425,1.5186569785714287e-06,7.65570607142857e-06
1,40,0,0,1,14,32.768,626940,39.18375,2.2531808064171123e-05,7.624308502673798e-06
2,40,0,0,2,14,32.768,593730,37.108125,1.9084724017467255e-05,8.076249694323149e-06
3,40,0,0,3,14,32.768,0,0.0,1.8177961254612547e-07,7.176127896678963e-06
4,40,0,1,0,14,32.768,1037556,64.84725,3.177096561085972e-05,7.767271402714933e-06
5,40,0,1,1,14,32.768,1,6.25e-05,2.2367977450980403e-06,7.460296797385622e-06
6,40,0,1,2,14,32.768,130,0.008125,2.0224289266666675e-06,7.5712124e-06
7,40,0,1,3,14,32.768,0,0.0,2.264204696969697e-07,7.542126893939394e-06
8,40,0,2,0,14,32.768,1040929,65.0580625,3.122010881057267e-05,7.82847889867841e-06
9,40,0,2,1,14,32.768,0,0.0,1.920791140684412e-07,7.4392593916349815e-06
10,40,0,2,2,14,32.768,0,0.0,2.0505508301886783e-07,7.5950617358490575e-06
11,40,0,2,3,14,32.768,35,0.0021875,2.118145037878788e-07,7.382372613636361e-06
12,40,0,3,0,14,32.768,0,0.0,1.7154088973384034e-07,7.408488973384028e-06
13,40,0,3,1,14,32.768,0,0.0,2.0345694163424103e-07,7.651137665369649e-06
14,40,0,3,2,14,32.768,1068172,66.76075,3.227826796536795e-05,8.40309935064935e-06
15,40,0,3,3,14,32.768,907516,56.71975,2.7442499999999997e-05,7.815008232558145e-06
16,40,0,4,0,14,32.768,8727,0.5454375,3.9243208764940235e-07,7.259504183266933e-06
17,40,0,4,1,14,32.768,98871,6.1794375,4.993825497835502e-06,7.197543766233762e-06
18,40,0,4,2,14,32.768,94145,5.8840625,4.518285601851851e-06,7.076363564814817e-06
19,40,0,4,3,14,32.768,70937,4.4335625,4.012589329896906e-06,6.935308041237113e-06
20,40,0,5,0,14,32.768,152480,9.53,6.3016116444444384e-06,6.986624400000003e-06
21,40,0,5,1,14,32.768,141922,8.870125,6.384685135135137e-06,7.022056936936934e-06
22,40,0,5,2,14,32.768,129754,8.109625,6.216664155844162e-06,6.894540303030302e-06
23,40,0,5,3,14,32.768,96812,6.05075,3.7747369893617033e-06,7.057723989361692e-06
24,40,0,6,0,14,32.768,230543,14.4089375,5.283150201388889e-06,7.0622923611111145e-06
25,40,0,6,1,14,32.768,1,6.25e-05,2.459238232142858e-06,6.988592142857145e-06
26,40,0,6,2,14,32.768,0,0.0,2.0200517870722436e-07,7.261742053231937e-06
27,40,0,6,3,14,32.768,100643,6.2901875,4.476613965517241e-06,7.240042463054187e-06
28,40,0,7,0,14,32.768,1,6.25e-05,1.804538896551726e-06,7.050614206896553e-06
29,40,0,7,1,14,32.768,168578,10.536125,6.785377129186607e-06,7.326598229665075e-06
30,40,0,7,2,14,32.768,124347,7.7716875000000005,4.7793297916666694e-06,7.228828749999992e-06
31,40,0,7,3,14,32.768,110988,6.93675,4.563721486486486e-06,7.329242522522521e-06
32,40,1,0,0,7,32.768,0,0.0,1.590255271739131e-07,6.481607581521738e-06
33,40,1,0,1,7,32.768,2454564,19622.891,0.0073826101382488485,4.9487688940092165e-05
34,40,1,0,2,7,32.768,1,0.008,3.2581947894736833e-06,9.126374859649122e-06
35,40,1,0,3,7,32.768,2175893,17384.818,0.007293530833333332,4.470804019607842e-05
36,40,1,1,0,7,32.768,1,0.008,1.2639670638297867e-06,1.0721258865248225e-05
37,40,1,1,1,7,32.768,0,0.0,1.8704718702290084e-07,1.0950179770992363e-05
38,40,1,1,2,7,32.768,3440892,27509.544,0.008587474155844151,5.531595930735931e-05
39,40,1,1,3,7,32.768,3031326,24233.109000000004,0.008874971861471861,5.176442683982685e-05
40,40,1,2,0,7,32.768,0,0.0,1.9108939215686268e-07,1.1446430588235298e-05
41,40,1,2,1,7,32.768,1,0.008,1.8492347692307695e-06,1.1679482051282046e-05
42,40,1,2,2,7,32.768,4201678,33585.269,0.007927111742738586,6.459531535269711e-05
43,40,1,2,3,7,32.768,3746395,29960.751,0.004797645476190477,6.116554523809526e-05
44,40,1,3,0,7,32.768,1,0.008,2.382940305555555e-06,1.2490824999999996e-05
45,40,1,3,1,7,32.768,1,0.008,1.827094383561644e-06,1.221318630136986e-05
46,40,1,3,2,7,32.768,1,0.008,2.120221388157895e-06,1.2631944078947368e-05
47,40,1,3,3,7,32.768,4616257,36920.998,0.00039022479629629637,3.189955925925926e-05
48,40,1,4,0,7,32.768,0,0.0,1.776556098901099e-07,6.892112098901096e-06
49,40,1,4,1,7,32.768,1,0.008,1.934467965517242e-06,8.578135603448278e-06
50,40,1,4,2,7,32.768,1388760,11099.611,0.0048595486757990886,3.008686621004566e-05
51,40,1,4,3,7,32.768,1305872,10446.949,0.004671601361702126,2.820401234042554e-05
52,40,1,5,0,7,32.768,1,0.008,3.372994370370372e-06,9.240006796296293e-06
53,40,1,5,1,7,32.768,2275817,18190.706,0.008252033437500002,4.255993214285713e-05
54,40,1,5,2,7,32.768,2324818,18585.698000000004,0.008737430808510641,4.1050802127659584e-05
55,40,1,5,3,7,32.768,1899957,15214.854000000001,0.004328974229074891,3.7107588546255496e-05
56,40,1,6,0,7,32.768,1,0.008,3.6937703500000008e-06,1.0999954659999999e-05
57,40,1,6,1,7,32.768,3286152,26271.523,0.004912507094017097,5.399584188034189e-05
58,40,1,6,2,7,32.768,2659849,21264.47,0.007014141497797358,4.502930088105727e-05
59,40,1,6,3,7,32.768,2533688,20273.167,0.00411781008583691,4.4583730042918455e-05
60,40,1,7,0,7,32.768,4968035,39745.103,0.005760711512605039,7.77459021008403e-05
61,40,1,7,1,7,32.768,1,0.008,1.4580094822695034e-06,1.0655968794326243e-05
62,40,1,7,2,7,32.768,3440526,27505.765000000003,0.008295808026315792,0.0001955276190789475
63,40,1,7,3,7,32.768,2884731,23089.597,0.005059123378378375,6.342763963963968e-05
