,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),Ivdd (A),Ivdd1v8 (A)
0,60,0,0,0,13,32.768,0,0.0,2.3234011557788941e-07,7.621424150753771e-06
1,60,0,0,1,13,32.768,754837,94.354625,4.4926971657753995e-05,3.286559037433154e-06
2,60,0,0,2,13,32.768,769502,96.18775000000001,4.596695055555556e-05,3.3013861666666656e-06
3,60,0,0,3,13,32.768,1,0.000125,2.0577306766917292e-07,3.157935864661653e-06
4,60,0,1,0,13,32.768,1253103,156.637875,7.42763375886525e-05,3.391359219858157e-06
5,60,0,1,1,13,32.768,1,0.000125,1.8831092023809526e-06,3.1146791071428556e-06
6,60,0,1,2,13,32.768,892373,111.546625,5.3824394086021484e-05,3.2689111290322577e-06
7,60,0,1,3,13,32.768,0,0.0,1.846691985018726e-07,3.120660486891386e-06
8,60,0,2,0,13,32.768,1231598,153.94975,7.617850148148144e-05,3.3896342222222246e-06
9,60,0,2,1,13,32.768,0,0.0,2.2073899999999992e-07,3.140422384615385e-06
10,60,0,2,2,13,32.768,1114777,139.347125,6.515900765027323e-05,3.4132445355191254e-06
11,60,0,2,3,13,32.768,59176,7.397,2.037855328282828e-06,3.2254490909090913e-06
12,60,0,3,0,13,32.768,0,0.0,1.774909625468165e-07,3.1353352434456917e-06
13,60,0,3,1,13,32.768,0,0.0,1.6870117307692326e-07,3.158525653846154e-06
14,60,0,3,2,13,32.768,1209582,151.19775,6.707680656934306e-05,3.532778029197081e-06
15,60,0,3,3,13,32.768,1041789,130.223625,5.6983394656488546e-05,3.4416742748091605e-06
16,60,0,4,0,13,32.768,135161,16.895125,6.628757710691827e-06,3.1727552830188677e-06
17,60,0,4,1,13,32.768,137063,17.132875000000002,1.03709908258427e-05,3.074351966292134e-06
18,60,0,4,2,13,32.768,128893,16.111625,8.286578812903228e-06,3.1153086451612894e-06
19,60,0,4,3,13,32.768,99516,12.4395,7.400346909604517e-06,3.1198385875706225e-06
20,60,0,5,0,13,32.768,216584,27.073,1.4512322926829265e-05,3.2293914634146366e-06
21,60,0,5,1,13,32.768,192439,24.054875,1.3148778440366976e-05,3.1443416055045853e-06
22,60,0,5,2,13,32.768,173948,21.7435,1.2573261611374409e-05,3.1655329383886253e-06
23,60,0,5,3,13,32.768,132534,16.56675,8.284235039735093e-06,3.123901059602649e-06
24,60,0,6,0,13,32.768,301915,37.739375,2.211404978494623e-05,3.2442467204301092e-06
25,60,0,6,1,13,32.768,1995,0.249375,2.1270959599999997e-06,3.1115088666666674e-06
26,60,0,6,2,13,32.768,59288,7.4110000000000005,1.6692783935483864e-06,3.1482052903225795e-06
27,60,0,6,3,13,32.768,140522,17.56525,8.002869993197277e-06,3.040414081632654e-06
