,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),Ivdd (A),Ivdd1v8 (A)
0,-40,0,0,0,14,32.768,9794,0.612125,2.57668140625e-06,6.962882812499992e-06
1,-40,0,0,1,14,32.768,5999,0.37493750000000003,2.2432815592417054e-06,6.967452559241705e-06
2,-40,0,0,2,14,32.768,1,6.25e-05,3.2131047342995153e-06,6.826584202898549e-06
3,-40,0,0,3,14,32.768,0,0.0,2.0243325475285172e-07,6.815073041825098e-06
4,-40,0,1,0,14,32.768,4838,0.302375,1.915311504807692e-06,6.846772259615385e-06
5,-40,0,1,1,14,32.768,1,6.25e-05,3.199103300492609e-06,6.8075317241379325e-06
6,-40,0,1,2,14,32.768,1,6.25e-05,2.8464929025641037e-06,6.804554615384616e-06
7,-40,0,1,3,14,32.768,0,0.0,1.776616121673005e-07,6.784655019011404e-06
8,-40,0,2,0,14,32.768,13110,0.819375,1.1163652020725384e-06,6.974474663212433e-06
9,-40,0,2,1,14,32.768,0,0.0,2.0753478409090924e-07,6.8026027651515194e-06
10,-40,0,2,2,14,32.768,0,0.0,2.0694096525096525e-07,6.832969343629342e-06
11,-40,0,2,3,14,32.768,0,0.0,1.9587075836431222e-07,6.84239691449814e-06
12,-40,0,3,0,14,32.768,0,0.0,1.8330056179775287e-07,6.926336254681644e-06
13,-40,0,3,1,14,32.768,0,0.0,2.0612305243445689e-07,6.9354552808988725e-06
14,-40,0,3,2,14,32.768,0,0.0,2.0103177735849058e-07,6.938399773584909e-06
15,-40,0,3,3,14,32.768,0,0.0,1.8014518045112797e-07,6.756464473684211e-06
16,-40,0,4,0,14,32.768,0,0.0,1.6470335606060593e-07,6.7764617424242404e-06
17,-40,0,4,1,14,32.768,1117,0.0698125,1.2257284111675128e-06,6.839556192893404e-06
18,-40,0,4,2,14,32.768,1865,0.1165625,1.3016015519125679e-06,6.868546994535521e-06
19,-40,0,4,3,14,32.768,745,0.0465625,1.5207475714285713e-06,6.823841593406591e-06
20,-40,0,5,0,14,32.768,236,0.014750000000000001,1.058286170103093e-06,6.859996752577318e-06
21,-40,0,5,1,14,32.768,1430,0.089375,1.6097669079754605e-06,6.903434233128836e-06
22,-40,0,5,2,14,32.768,1171,0.0731875,1.8364538399999991e-06,6.836873314285708e-06
23,-40,0,5,3,14,32.768,835,0.0521875,6.051478798076923e-07,6.833979471153846e-06
24,-40,0,6,0,14,32.768,0,0.0,2.073053270676692e-07,6.820901240601506e-06
25,-40,0,6,1,14,32.768,1,6.25e-05,3.2066828510638297e-06,6.805753531914894e-06
26,-40,0,6,2,14,32.768,0,0.0,1.9629231679389315e-07,6.803147977099236e-06
27,-40,0,6,3,14,32.768,297,0.0185625,7.654077894736845e-07,6.94010705263158e-06
28,-40,0,7,0,14,32.768,1,6.25e-05,3.1787884236453205e-06,6.958205221674878e-06
29,-40,0,7,1,14,32.768,0,0.0,1.8679457088122603e-07,6.981056245210731e-06
30,-40,0,7,2,14,32.768,3314,0.207125,7.912659033816428e-07,6.9657675362318815e-06
31,-40,0,7,3,14,32.768,394,0.024625,7.360680765550236e-07,6.9556171770334975e-06
