,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),Ivdd (A),Ivdd1v8 (A)
0,20,0,0,0,14,32.768,1429,0.0893125,2.343214590909091e-07,2.473914272727273e-06
1,20,0,0,1,14,32.768,214054,13.378375,7.117062142857143e-06,2.5222273834586456e-06
2,20,0,0,2,14,32.768,1,6.25e-05,2.5185867019867543e-06,2.4400422516556285e-06
3,20,0,0,3,14,32.768,0,0.0,2.014628679245283e-07,2.4302412452830187e-06
4,20,0,1,0,14,32.768,352134,22.008375,1.1946577832512318e-05,1.4217172019704428e-06
5,20,0,1,1,14,32.768,1,6.25e-05,2.6362878117647073e-06,2.4054881764705878e-06
6,20,0,1,2,14,32.768,1,6.25e-05,1.4842552027972025e-06,1.7176860699300702e-06
7,20,0,1,3,14,32.768,0,0.0,1.7871028985507257e-07,2.519207777777778e-06
8,20,0,2,0,14,32.768,353062,22.066375,1.1613822735294122e-05,2.3397146519607845e-06
9,20,0,2,1,14,32.768,0,0.0,1.7753556621004545e-07,2.9917503515981733e-06
10,20,0,2,2,14,32.768,0,0.0,1.7010870093457944e-07,3.7739890654205585e-06
11,20,0,2,3,14,32.768,0,0.0,1.9219942796610167e-07,2.3889375720338983e-06
12,20,0,3,0,14,32.768,0,0.0,1.9492092093023255e-07,2.771595311627906e-06
13,20,0,3,1,14,32.768,0,0.0,1.9900269433962268e-07,2.4403787924528315e-06
14,20,0,3,2,14,32.768,99806,6.237875,2.1607264780219767e-06,2.5615387362637367e-06
15,20,0,3,3,14,32.768,318759,19.9224375,9.750463046783623e-06,2.390795497076023e-06
16,20,0,4,0,14,32.768,126,0.007875,1.945402481203008e-07,2.45323680451128e-06
17,20,0,4,1,14,32.768,27500,1.71875,2.180876350649349e-06,2.442612142857144e-06
18,20,0,4,2,14,32.768,26377,1.6485625,2.0581564010988997e-06,2.391624725274727e-06
19,20,0,4,3,14,32.768,19500,1.21875,2.1761040209424084e-06,2.486652408376964e-06
20,20,0,5,0,14,32.768,41228,2.57675,2.6131620063694273e-06,1.9662998025477716e-06
21,20,0,5,1,14,32.768,40199,2.5124375,3.3649261896551734e-06,1.556613e-06
22,20,0,5,2,14,32.768,36934,2.308375,3.0404269491525426e-06,2.3803909039548025e-06
23,20,0,5,3,14,32.768,27558,1.722375,2.142304533653846e-06,2.4437799999999997e-06
24,20,0,6,0,14,32.768,66426,4.151625,3.7998834371584716e-06,1.3842361475409834e-06
25,20,0,6,1,14,32.768,1,6.25e-05,2.5762337412587405e-06,2.427680839160839e-06
26,20,0,6,2,14,32.768,0,0.0,1.8856462453531594e-07,2.4381074349442364e-06
27,20,0,6,3,14,32.768,27923,1.7451875000000001,2.0265158465909093e-06,1.996377710227273e-06
28,20,0,7,0,14,32.768,1,6.25e-05,1.7197522340425524e-06,2.286246524822695e-06
29,20,0,7,1,14,32.768,45531,2.8456875,1.9772651207729466e-06,2.504524154589372e-06
30,20,0,7,2,14,32.768,34316,2.14475,2.044501330097088e-06,2.41308440291262e-06
31,20,0,7,3,14,32.768,30843,1.9276875,2.079037086486488e-06,1.939780967567568e-06
32,20,1,0,0,7,32.768,0,0.0,1.7565267924528316e-07,3.596233773584904e-06
33,20,1,0,1,7,32.768,1,0.008,1.952270320000001e-06,3.842699266666665e-06
34,20,1,0,2,7,32.768,1,0.008,2.0011333098591555e-06,3.3586988028169013e-06
35,20,1,0,3,7,32.768,1,0.008,2.6973319879518068e-06,3.735016506024095e-06
36,20,1,1,0,7,32.768,1,0.008,2.4944886037735836e-06,4.127026540880505e-06
37,20,1,1,1,7,32.768,0,0.0,1.927440038167939e-07,4.247838320610689e-06
38,20,1,1,2,7,32.768,0,0.0,1.702434448669202e-07,4.522317262357415e-06
39,20,1,1,3,7,32.768,1,0.008,2.1854043888888888e-06,4.169774722222223e-06
40,20,1,2,0,7,32.768,0,0.0,1.7699617164179108e-07,4.716109253731346e-06
41,20,1,2,1,7,32.768,1,0.008,2.1034710909090906e-06,4.755816493506495e-06
42,20,1,2,2,7,32.768,1,0.008,1.5704371390728484e-06,4.946849403973511e-06
43,20,1,2,3,7,32.768,0,0.0,1.6359679999999992e-07,4.895267000000001e-06
44,20,1,3,0,7,32.768,0,0.0,1.823141821561338e-07,5.208412193308551e-06
45,20,1,3,1,7,32.768,1,0.008,2.2822713949044588e-06,5.1079154777070065e-06
46,20,1,3,2,7,32.768,1,0.008,1.196568243055556e-06,5.0690144444444445e-06
47,20,1,3,3,7,32.768,0,0.0,1.711624381625441e-07,5.486393568904595e-06
48,20,1,4,0,7,32.768,0,0.0,2.0246256934306576e-07,3.102083503649635e-06
49,20,1,4,1,7,32.768,1,0.008,1.3981775735294113e-06,3.1084192647058814e-06
50,20,1,4,2,7,32.768,0,0.0,1.6949455343511446e-07,3.2291624809160325e-06
51,20,1,4,3,7,32.768,0,0.0,1.8656867883211686e-07,3.2021437956204385e-06
52,20,1,5,0,7,32.768,0,0.0,1.8984018390804593e-07,3.5443639846743294e-06
53,20,1,5,1,7,32.768,1,0.008,1.8058243962264146e-06,3.5413593710691825e-06
54,20,1,5,2,7,32.768,1,0.008,2.391343647798742e-06,3.52795465408805e-06
55,20,1,5,3,7,32.768,0,0.0,1.6110741064638786e-07,3.552415855513307e-06
56,20,1,6,0,7,32.768,1,0.008,1.7062248698630137e-06,3.7266833561643824e-06
57,20,1,6,1,7,32.768,0,0.0,1.8682906716417904e-07,4.043823731343285e-06
58,20,1,6,2,7,32.768,0,0.0,1.858757366412214e-07,3.913817900763357e-06
59,20,1,6,3,7,32.768,0,0.0,1.827797932330826e-07,3.9186880827067686e-06
60,20,1,7,0,7,32.768,1,0.008,2.5165325477707013e-06,4.566837261146496e-06
61,20,1,7,1,7,32.768,1,0.008,3.18895264848485e-06,4.045945575757576e-06
62,20,1,7,2,7,32.768,0,0.0,1.7275668702290067e-07,4.351199122137408e-06
63,20,1,7,3,7,32.768,0,0.0,1.9022547211895915e-07,4.282066877323419e-06
