,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz),Freq1 (kHz)
0,-30,0,0,0,6,32.768,31,0.496,0.496
1,-30,0,0,1,6,32.768,1,0.016,0.016
2,-30,0,0,2,6,32.768,7,0.112,0.016
3,-30,0,0,3,6,32.768,1,0.016,0.016
4,-30,0,1,0,6,32.768,0,0.0,0.0
5,-30,0,1,1,6,32.768,109,1.744,1.6320000000000001
6,-30,0,1,2,6,32.768,0,0.0,0.0
7,-30,0,1,3,6,32.768,1,0.016,0.016
8,-30,0,2,0,6,32.768,1,0.016,0.016
9,-30,0,2,1,6,32.768,1,0.016,0.016
10,-30,0,2,2,6,32.768,53,0.848,0.8320000000000001
11,-30,0,2,3,6,32.768,0,0.0,0.0
12,-30,0,3,0,6,32.768,95,1.52,1.52
13,-30,0,3,1,6,32.768,1,0.016,0.016
14,-30,0,3,2,6,32.768,0,0.0,0.0
15,-30,0,3,3,6,32.768,1,0.016,0.016
16,-30,0,4,0,7,32.768,1,0.008,0.008
17,-30,0,4,1,7,32.768,9,0.07200000000000001,0.07200000000000001
18,-30,0,4,2,7,32.768,8,0.064,0.048
19,-30,0,4,3,7,32.768,6,0.048,0.04
20,-30,0,5,0,7,32.768,0,0.0,0.0
21,-30,0,5,1,7,32.768,0,0.0,0.008
22,-30,0,5,2,7,32.768,10,0.08,0.10400000000000001
23,-30,0,5,3,7,32.768,9,0.07200000000000001,0.096
24,-30,0,6,0,7,32.768,1,0.008,0.008
25,-30,0,6,1,7,32.768,12,0.096,0.14400000000000002
26,-30,0,6,2,7,32.768,5,0.04,0.048
27,-30,0,6,3,7,32.768,1,0.008,0.008
28,-30,0,7,0,7,32.768,1,0.008,0.008
29,-30,0,7,1,7,32.768,0,0.0,0.0
30,-30,0,7,2,7,32.768,111,0.888,0.904
31,-30,0,7,3,7,32.768,38,0.304,0.32
32,-30,1,0,0,0,32.768,3397,3478.5280000000002,3471.36
33,-30,1,0,1,0,32.768,0,0.0,0.0
34,-30,1,0,2,0,32.768,0,0.0,0.0
35,-30,1,0,3,0,32.768,0,0.0,0.0
36,-30,1,1,0,0,32.768,5508,5640.192,5664.768
37,-30,1,1,1,0,32.768,0,0.0,0.0
38,-30,1,1,2,0,32.768,5560,5693.4400000000005,5668.8640000000005
39,-30,1,1,3,0,32.768,1,1.024,1.024
40,-30,1,2,0,0,32.768,357,365.568,367.616
41,-30,1,2,1,0,32.768,1,1.024,1.024
42,-30,1,2,2,0,32.768,1,1.024,1.024
43,-30,1,2,3,0,32.768,0,0.0,0.0
44,-30,1,3,0,0,32.768,0,0.0,0.0
45,-30,1,3,1,0,32.768,0,0.0,0.0
46,-30,1,3,2,0,32.768,0,0.0,0.0
47,-30,1,3,3,0,32.768,0,0.0,0.0
48,-30,1,4,0,0,32.768,1,1.024,1.024
49,-30,1,4,1,0,32.768,0,0.0,0.0
50,-30,1,4,2,0,32.768,1,1.024,1.024
51,-30,1,4,3,0,32.768,1650,1689.6000000000001,1691.6480000000001
52,-30,1,5,0,0,32.768,0,0.0,0.0
53,-30,1,5,1,0,32.768,1,1.024,1.024
54,-30,1,5,2,0,32.768,2932,3002.368,3004.416
55,-30,1,5,3,0,32.768,1873,1917.952,1920.0
56,-30,1,6,0,0,32.768,4675,4787.2,4786.176
57,-30,1,6,1,0,32.768,0,0.0,0.0
58,-30,1,6,2,0,32.768,3279,3357.696,3366.9120000000003
59,-30,1,6,3,0,32.768,2934,3004.416,2995.2000000000003
60,-30,1,7,0,0,32.768,1,1.024,1.024
61,-30,1,7,1,0,32.768,4758,4872.192,4858.88
62,-30,1,7,2,0,32.768,1,1.024,1.024
63,-30,1,7,3,0,32.768,3377,3458.0480000000002,3462.1440000000002
