,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz),Freq1 (kHz)
0,-40,0,0,0,6,32.768,13,0.20800000000000002,0.20800000000000002
1,-40,0,0,1,6,32.768,1,0.016,0.016
2,-40,0,0,2,6,32.768,1,0.016,0.016
3,-40,0,0,3,6,32.768,1,0.016,0.016
4,-40,0,1,0,6,32.768,0,0.0,0.0
5,-40,0,1,1,6,32.768,91,1.456,1.568
6,-40,0,1,2,6,32.768,0,0.0,0.0
7,-40,0,1,3,6,32.768,1,0.016,0.032
8,-40,0,2,0,6,32.768,1,0.016,0.016
9,-40,0,2,1,6,32.768,1,0.016,0.016
10,-40,0,2,2,6,32.768,25,0.4,0.352
11,-40,0,2,3,6,32.768,0,0.0,0.0
12,-40,0,3,0,6,32.768,46,0.736,0.624
13,-40,0,3,1,6,32.768,1,0.016,0.016
14,-40,0,3,2,6,32.768,0,0.0,0.0
15,-40,0,3,3,6,32.768,1,0.016,0.016
16,-40,0,4,0,7,32.768,1,0.008,0.008
17,-40,0,4,1,7,32.768,4,0.032,0.032
18,-40,0,4,2,7,32.768,6,0.048,0.032
19,-40,0,4,3,7,32.768,5,0.04,0.064
20,-40,0,5,0,7,32.768,0,0.0,0.0
21,-40,0,5,1,7,32.768,1,0.008,0.008
22,-40,0,5,2,7,32.768,5,0.04,0.04
23,-40,0,5,3,7,32.768,8,0.064,0.064
24,-40,0,6,0,7,32.768,1,0.008,0.008
25,-40,0,6,1,7,32.768,8,0.064,0.048
26,-40,0,6,2,7,32.768,2,0.016,0.056
27,-40,0,6,3,7,32.768,1,0.008,0.008
28,-40,0,7,0,7,32.768,1,0.008,0.008
29,-40,0,7,1,7,32.768,0,0.0,0.0
30,-40,0,7,2,7,32.768,49,0.392,0.304
31,-40,0,7,3,7,32.768,26,0.20800000000000002,0.24
32,-40,1,0,0,0,32.768,2255,2309.12,2313.216
33,-40,1,0,1,0,32.768,0,0.0,0.0
34,-40,1,0,2,0,32.768,0,0.0,0.0
35,-40,1,0,3,0,32.768,0,0.0,0.0
36,-40,1,1,0,0,32.768,3740,3829.76,3825.664
37,-40,1,1,1,0,32.768,0,0.0,0.0
38,-40,1,1,2,0,32.768,867,887.808,339.968
39,-40,1,1,3,0,32.768,1,1.024,1.024
40,-40,1,2,0,0,32.768,5648,5783.552,6199.296
41,-40,1,2,1,0,32.768,1,1.024,1.024
42,-40,1,2,2,0,32.768,1,1.024,1.024
43,-40,1,2,3,0,32.768,0,0.0,0.0
44,-40,1,3,0,0,32.768,0,0.0,0.0
45,-40,1,3,1,0,32.768,0,0.0,0.0
46,-40,1,3,2,0,32.768,0,0.0,0.0
47,-40,1,3,3,0,32.768,0,0.0,0.0
48,-40,1,4,0,0,32.768,1,1.024,1.024
49,-40,1,4,1,0,32.768,0,0.0,0.0
50,-40,1,4,2,0,32.768,1,1.024,1.024
51,-40,1,4,3,0,32.768,1085,1111.04,1116.16
52,-40,1,5,0,0,32.768,0,0.0,0.0
53,-40,1,5,1,0,32.768,1,1.024,1.024
54,-40,1,5,2,0,32.768,1981,2028.544,2020.352
55,-40,1,5,3,0,32.768,1209,1238.016,1241.088
56,-40,1,6,0,0,32.768,3084,3158.016,3177.472
57,-40,1,6,1,0,32.768,0,0.0,0.0
58,-40,1,6,2,0,32.768,2167,2219.0080000000003,2216.96
59,-40,1,6,3,0,32.768,1938,1984.512,1976.32
60,-40,1,7,0,0,32.768,1,1.024,1.024
61,-40,1,7,1,0,32.768,3133,3208.192,3192.832
62,-40,1,7,2,0,32.768,1,1.024,1.024
63,-40,1,7,3,0,32.768,2207,2259.968,2255.872
