,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz),Freq1 (kHz)
0,0,0,0,0,6,32.768,289,4.624,4.6080000000000005
1,0,0,0,1,6,32.768,365,5.84,5.84
2,0,0,0,2,6,32.768,417,6.672,6.8
3,0,0,0,3,6,32.768,362,5.792,5.776
4,0,0,1,0,6,32.768,0,0.0,0.0
5,0,0,1,1,6,32.768,843,13.488,11.392
6,0,0,1,2,6,32.768,259,4.144,3.7760000000000002
7,0,0,1,3,6,32.768,307,4.912,4.912
8,0,0,2,0,6,32.768,1,0.016,0.016
9,0,0,2,1,6,32.768,1,0.016,0.016
10,0,0,2,2,6,32.768,460,7.36,7.344
11,0,0,2,3,6,32.768,0,0.0,0.0
12,0,0,3,0,6,32.768,861,13.776,13.712
13,0,0,3,1,6,32.768,1,0.016,0.016
14,0,0,3,2,6,32.768,0,0.0,0.0
15,0,0,3,3,6,32.768,1,0.016,0.016
16,0,0,4,0,7,32.768,92,0.736,0.736
17,0,0,4,1,7,32.768,102,0.8160000000000001,0.8240000000000001
18,0,0,4,2,7,32.768,51,0.40800000000000003,0.4
19,0,0,4,3,7,32.768,55,0.44,0.448
20,0,0,5,0,7,32.768,0,0.0,0.0
21,0,0,5,1,7,32.768,0,0.0,0.032
22,0,0,5,2,7,32.768,90,0.72,0.6960000000000001
23,0,0,5,3,7,32.768,71,0.5680000000000001,0.56
24,0,0,6,0,7,32.768,157,1.256,1.28
25,0,0,6,1,7,32.768,106,0.848,0.848
26,0,0,6,2,7,32.768,73,0.584,0.584
27,0,0,6,3,7,32.768,1,0.008,0.016
28,0,0,7,0,7,32.768,0,0.0,0.0
29,0,0,7,1,7,32.768,0,0.0,0.0
30,0,0,7,2,7,32.768,205,1.6400000000000001,1.768
31,0,0,7,3,7,32.768,91,0.728,0.744
32,0,1,0,0,0,32.768,9396,9621.504,9606.144
33,0,1,0,1,0,32.768,0,0.0,0.0
34,0,1,0,2,0,32.768,0,0.0,0.0
35,0,1,0,3,0,32.768,7540,7720.96,7708.6720000000005
36,0,1,1,0,0,32.768,14647,14998.528,14897.152
37,0,1,1,1,0,32.768,0,0.0,0.0
38,0,1,1,2,0,32.768,13615,13941.76,13950.976
39,0,1,1,3,0,32.768,1,1.024,1.024
40,0,1,2,0,0,32.768,2,2.048,1.024
41,0,1,2,1,0,32.768,1,1.024,1.024
42,0,1,2,2,0,32.768,1,1.024,1.024
43,0,1,2,3,0,32.768,0,0.0,0.0
44,0,1,3,0,0,32.768,0,0.0,0.0
45,0,1,3,1,0,32.768,0,0.0,0.0
46,0,1,3,2,0,32.768,1,1.024,0.0
47,0,1,3,3,0,32.768,0,0.0,0.0
48,0,1,4,0,0,32.768,1,1.024,1.024
49,0,1,4,1,0,32.768,0,0.0,0.0
50,0,1,4,2,0,32.768,1,1.024,1.024
51,0,1,4,3,0,32.768,4692,4804.608,4779.008
52,0,1,5,0,0,32.768,0,0.0,0.0
53,0,1,5,1,0,32.768,1,1.024,1.024
54,0,1,5,2,0,32.768,8036,8228.864,8266.752
55,0,1,5,3,0,32.768,5619,5753.856,5742.592000000001
56,0,1,6,0,0,32.768,13216,13533.184000000001,13469.696
57,0,1,6,1,0,32.768,0,0.0,0.0
58,0,1,6,2,0,32.768,9178,9398.272,9438.208
59,0,1,6,3,0,32.768,8193,8389.632,8411.136
60,0,1,7,0,0,32.768,1,1.024,1.024
61,0,1,7,1,0,32.768,13341,13661.184000000001,13631.488000000001
62,0,1,7,2,0,32.768,12536,12836.864,12828.672
63,0,1,7,3,0,32.768,9755,9989.12,9981.952
