,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq0 (kHz),Freq1 (kHz)
0,10,0,0,0,6,32.768,522,8.352,8.368
1,10,0,0,1,6,32.768,649,10.384,10.528
2,10,0,0,2,6,32.768,563,9.008000000000001,9.024000000000001
3,10,0,0,3,6,32.768,614,9.824,9.888
4,10,0,1,0,6,32.768,0,0.0,0.0
5,10,0,1,1,6,32.768,894,14.304,15.936
6,10,0,1,2,6,32.768,262,4.192,4.16
7,10,0,1,3,6,32.768,544,8.704,8.752
8,10,0,2,0,6,32.768,1,0.016,0.016
9,10,0,2,1,6,32.768,1,0.016,0.016
10,10,0,2,2,6,32.768,811,12.976,13.072000000000001
11,10,0,2,3,6,32.768,0,0.0,0.0
12,10,0,3,0,6,32.768,1542,24.672,24.912
13,10,0,3,1,6,32.768,154,2.464,3.856
14,10,0,3,2,6,32.768,0,0.0,0.0
15,10,0,3,3,6,32.768,304,4.864,5.136
16,10,0,4,0,7,32.768,178,1.424,1.432
17,10,0,4,1,7,32.768,199,1.592,1.6
18,10,0,4,2,7,32.768,101,0.808,0.8160000000000001
19,10,0,4,3,7,32.768,109,0.872,0.88
20,10,0,5,0,7,32.768,0,0.0,0.0
21,10,0,5,1,7,32.768,1,0.008,0.008
22,10,0,5,2,7,32.768,163,1.304,1.3760000000000001
23,10,0,5,3,7,32.768,141,1.1280000000000001,1.1360000000000001
24,10,0,6,0,7,32.768,294,2.352,2.368
25,10,0,6,1,7,32.768,208,1.6640000000000001,1.672
26,10,0,6,2,7,32.768,149,1.192,1.2
27,10,0,6,3,7,32.768,2,0.016,0.008
28,10,0,7,0,7,32.768,0,0.0,0.0
29,10,0,7,1,7,32.768,0,0.0,0.0
30,10,0,7,2,7,32.768,277,2.216,2.208
31,10,0,7,3,7,32.768,181,1.448,1.464
32,10,1,0,0,0,32.768,12173,12465.152,12527.616
33,10,1,0,1,0,32.768,0,0.0,0.0
34,10,1,0,2,0,32.768,0,0.0,0.0
35,10,1,0,3,0,32.768,9602,9832.448,9850.880000000001
36,10,1,1,0,0,32.768,18766,19216.384000000002,19317.760000000002
37,10,1,1,1,0,32.768,0,0.0,0.0
38,10,1,1,2,0,32.768,17138,17549.312,17614.848
39,10,1,1,3,0,32.768,1,1.024,1.024
40,10,1,2,0,0,32.768,1,1.024,1.024
41,10,1,2,1,0,32.768,1,1.024,1.024
42,10,1,2,2,0,32.768,1,1.024,1.024
43,10,1,2,3,0,32.768,0,0.0,0.0
44,10,1,3,0,0,32.768,0,0.0,0.0
45,10,1,3,1,0,32.768,0,0.0,0.0
46,10,1,3,2,0,32.768,25,25.6,21.504
47,10,1,3,3,0,32.768,0,0.0,0.0
48,10,1,4,0,0,32.768,1,1.024,1.024
49,10,1,4,1,0,32.768,0,0.0,0.0
50,10,1,4,2,0,32.768,1,1.024,1.024
51,10,1,4,3,0,32.768,6116,6262.784000000001,6261.76
52,10,1,5,0,0,32.768,0,0.0,0.0
53,10,1,5,1,0,32.768,1,1.024,1.024
54,10,1,5,2,0,32.768,10418,10668.032000000001,10721.28
55,10,1,5,3,0,32.768,7435,7613.4400000000005,7629.8240000000005
56,10,1,6,0,0,32.768,17245,17658.88,17678.336
57,10,1,6,1,0,32.768,0,0.0,0.0
58,10,1,6,2,0,32.768,11999,12286.976,12328.960000000001
59,10,1,6,3,0,32.768,10703,10959.872,10998.784
60,10,1,7,0,0,32.768,1,1.024,1.024
61,10,1,7,1,0,32.768,17382,17799.168,17811.456000000002
62,10,1,7,2,0,32.768,16230,16619.52,16638.976
63,10,1,7,3,0,32.768,12774,13080.576000000001,13115.392
