,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),Ivdd (A),Ivdd1v8 (A)
0,-10,0,0,0,14,32.768,35028,2.18925,1.7166568831775699e-06,4.5042692990654217e-07
1,-10,0,0,1,14,32.768,1,6.25e-05,2.1282892893081764e-06,4.1510791823899377e-07
2,-10,0,0,2,14,32.768,42896,2.681,3.6449198465608483e-06,4.3992451322751294e-07
3,-10,0,0,3,14,32.768,212,0.01325,8.987824316546764e-07,4.071602877697841e-07
4,-10,0,1,0,14,32.768,0,0.0,2.0268564539007104e-07,4.353331631205671e-07
5,-10,0,1,1,14,32.768,15461,0.9663125,1.5261296029411757e-06,4.3743008088235294e-07
6,-10,0,1,2,14,32.768,0,0.0,2.1850762413793108e-07,4.34067344827586e-07
7,-10,0,1,3,14,32.768,36749,2.2968125,2.7270557588235294e-06,4.2720777647058816e-07
8,-10,0,2,0,14,32.768,1,6.25e-05,5.298616046511632e-07,4.075413565891472e-07
9,-10,0,2,1,14,32.768,1,6.25e-05,9.223803925925928e-07,4.095877259259257e-07
10,-10,0,2,2,14,32.768,57540,3.59625,1.158494170212766e-06,4.37898964539007e-07
11,-10,0,2,3,14,32.768,0,0.0,2.1067456357388322e-07,4.382877972508593e-07
12,-10,0,3,0,14,32.768,16,0.001,8.244469999999998e-07,3.8726641732283446e-07
13,-10,0,3,1,14,32.768,1,6.25e-05,8.436191194029855e-07,4.0041178358208954e-07
14,-10,0,3,2,14,32.768,0,0.0,2.0197276490066228e-07,4.3460217549668883e-07
15,-10,0,3,3,14,32.768,1,6.25e-05,1.112886046153846e-06,4.22645953846154e-07
16,-10,0,4,0,14,32.768,1,6.25e-05,7.91504359375e-07,4.118526093749998e-07
17,-10,0,4,1,14,32.768,5472,0.342,1.8812544293785313e-06,4.283287570621468e-07
18,-10,0,4,2,14,32.768,2627,0.16418750000000001,7.15064283582089e-07,4.3271323383084556e-07
19,-10,0,4,3,14,32.768,2802,0.175125,1.1559018905472634e-06,4.2449231343283583e-07
20,-10,0,5,0,14,32.768,0,0.0,1.94266934931507e-07,4.268902465753423e-07
21,-10,0,5,1,14,32.768,0,0.0,1.948696376811594e-07,4.3477158695652197e-07
22,-10,0,5,2,14,32.768,4205,0.2628125,1.2911140092165898e-06,4.30418875576037e-07
23,-10,0,5,3,14,32.768,3378,0.211125,1.5363406770186337e-06,4.3148142236024874e-07
24,-10,0,6,0,14,32.768,3,0.0001875,9.212209594594591e-07,2.949672162162163e-07
25,-10,0,6,1,14,32.768,5590,0.349375,1.5300479230769238e-06,4.3079324519230763e-07
26,-10,0,6,2,14,32.768,3829,0.2393125,1.1010940349999996e-06,4.216303249999999e-07
27,-10,0,6,3,14,32.768,1,6.25e-05,9.394753773584907e-07,4.0814300628930834e-07
28,-10,0,7,0,14,32.768,1,6.25e-05,1.501288961538462e-06,4.030660153846155e-07
29,-10,0,7,1,14,32.768,0,0.0,2.1967178472222232e-07,4.446908784722228e-07
30,-10,0,7,2,14,32.768,6833,0.4270625,8.237540388349522e-07,4.2079568932038814e-07
31,-10,0,7,3,14,32.768,5214,0.325875,1.008009696969697e-06,4.5370725252525237e-07
32,-10,1,0,0,7,32.768,1,0.008,1.718505868686869e-06,5.556289191919191e-07
33,-10,1,0,1,7,32.768,0,0.0,1.7619270089285713e-07,6.287698392857146e-07
34,-10,1,0,2,7,32.768,0,0.0,1.5864277578475337e-07,7.174154304932738e-07
35,-10,1,0,3,7,32.768,0,0.0,2.0074383561643828e-07,7.793269178082193e-07
36,-10,1,1,0,7,32.768,0,0.0,1.7219292201834866e-07,1.5733850045871557e-06
37,-10,1,1,1,7,32.768,0,0.0,2.120560825688074e-07,8.931239266055042e-07
38,-10,1,1,2,7,32.768,0,0.0,2.015559953051642e-07,9.782452535211268e-07
39,-10,1,1,3,7,32.768,1,0.008,1.3173936386554617e-06,8.219315462184878e-07
40,-10,1,2,0,7,32.768,1,0.008,2.236425772357724e-06,1.0709554715447152e-06
41,-10,1,2,1,7,32.768,1,0.008,8.038393000000002e-07,5.8471403e-07
