,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),Ivdd (A),Ivdd1v8 (A)
0,60,0,0,0,13,32.768,829042,103.63025,4.878668804347831e-05,9.132985054347827e-07
1,60,0,0,1,13,32.768,904127,113.01587500000001,6.476765000000002e-05,2.038407640350877e-06
2,60,0,0,2,13,32.768,797085,99.635625,4.7882364485981314e-05,1.3767620467289723e-06
3,60,0,0,3,13,32.768,814339,101.792375,4.879754239130439e-05,1.278180179347826e-06
4,60,0,1,0,13,32.768,0,0.0,1.9493126086956525e-07,8.977419613526574e-07
5,60,0,1,1,13,32.768,1243580,155.4475,5.590227545454544e-05,1.484732190909091e-06
6,60,0,1,2,13,32.768,7974,0.99675,1.9045895267857142e-06,5.037399553571428e-07
7,60,0,1,3,13,32.768,802627,100.32837500000001,4.7483122522522516e-05,2.2092921621621622e-07
8,60,0,2,0,13,32.768,35,0.004375,2.676865213740458e-06,1.786051908396947e-06
9,60,0,2,1,13,32.768,1,0.000125,1.7739075901639346e-06,8.566610737704918e-07
10,60,0,2,2,13,32.768,1168533,146.06662500000002,7.33076495726496e-05,1.6514268803418801e-06
11,60,0,2,3,13,32.768,1046979,130.872375,6.088220552486187e-05,8.446952209944758e-07
12,60,0,3,0,13,32.768,1,0.000125,2.2354307063492054e-06,1.6562787063492052e-06
13,60,0,3,1,13,32.768,1551211,193.901375,0.00016753090666666662,2.5545550000000007e-07
14,60,0,3,2,13,32.768,142356,17.7945,7.20967182051282e-06,1.3494518717948718e-06
15,60,0,3,3,13,32.768,1059339,132.417375,6.353968495575221e-05,1.1409097522123895e-06
16,60,0,4,0,13,32.768,210378,26.297250000000002,1.3872996721311477e-05,6.810343387978142e-07
17,60,0,4,1,13,32.768,47800,5.9750000000000005,6.8397714159292065e-06,2.2834936371681415e-06
18,60,0,4,2,13,32.768,123812,15.4765,7.662136504273504e-06,1.077262e-06
19,60,0,4,3,13,32.768,129878,16.234750000000002,9.233039520325204e-06,8.78561869918699e-07
20,60,0,5,0,13,32.768,0,0.0,1.9869265048543685e-07,1.347139946601941e-06
21,60,0,5,1,13,32.768,0,0.0,1.8645591219512188e-07,6.058941073170736e-07
22,60,0,5,2,13,32.768,184912,23.114,1.2450834113475179e-05,9.66413283687943e-07
23,60,0,5,3,13,32.768,154335,19.291875,1.1094049848275863e-05,1.1081550896551726e-06
24,60,0,6,0,13,32.768,337509,42.188625,2.1703677528089888e-05,1.608726539325843e-06
25,60,0,6,1,13,32.768,237270,29.65875,1.5075886885245903e-05,4.714922896174863e-07
26,60,0,6,2,13,32.768,189382,23.67275,1.377710962411347e-05,9.734235035460994e-07
27,60,0,6,3,13,32.768,14559,1.8198750000000001,4.339586577380954e-06,4.836610416666663e-07
