,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),Ivdd (A),Ivdd1v8 (A)
0,20,0,0,0,14,32.768,234207,14.6379375,6.958464684684685e-06,7.97840540540542e-08
1,20,0,0,1,14,32.768,232572,14.53575,7.853672621212123e-06,5.236284848484847e-07
2,20,0,0,2,14,32.768,240468,15.029250000000001,5.722699276923078e-06,5.424918076923075e-07
3,20,0,0,3,14,32.768,260834,16.302125,7.689386168067227e-06,3.7746446218487376e-07
4,20,0,1,0,14,32.768,0,0.0,1.9476840780141843e-07,5.22821812056737e-07
5,20,0,1,1,14,32.768,265011,16.5631875,3.905534543103448e-06,4.046899568965517e-07
6,20,0,1,2,14,32.768,1,6.25e-05,1.049408085106383e-06,5.028195673758865e-07
7,20,0,1,3,14,32.768,238335,14.8959375,6.397441233082707e-06,5.02270060150376e-07
8,20,0,2,0,14,32.768,1,6.25e-05,9.343100575539573e-07,4.294250791366908e-07
9,20,0,2,1,14,32.768,1,6.25e-05,2.4532869574468072e-06,5.007765390070922e-07
10,20,0,2,2,14,32.768,356357,22.2723125,1.1867133913669065e-05,4.095427625899282e-07
11,20,0,2,3,14,32.768,0,0.0,1.8199835199999991e-07,8.232631840000001e-07
12,20,0,3,0,14,32.768,1,6.25e-05,1.6254808411764715e-06,5.353750294117647e-07
13,20,0,3,1,14,32.768,0,0.0,2.0595803773584902e-07,5.557478349056605e-07
14,20,0,3,2,14,32.768,0,0.0,1.9136461666666658e-07,5.215098916666669e-07
15,20,0,3,3,14,32.768,66328,4.1455,5.191135874999999e-06,4.0829700625000015e-07
16,20,0,4,0,14,32.768,42370,2.648125,2.680562481927711e-06,4.978374939759039e-07
17,20,0,4,1,14,32.768,47055,2.9409375,2.9253432315270933e-06,5.020201724137932e-07
18,20,0,4,2,14,32.768,24891,1.5556875000000001,1.3841996878306884e-06,4.740289841269843e-07
19,20,0,4,3,14,32.768,26439,1.6524375,1.9213430338164253e-06,5.043150096618357e-07
20,20,0,5,0,14,32.768,0,0.0,2.0104085596707812e-07,1.539935102880658e-07
21,20,0,5,1,14,32.768,0,0.0,1.9169033333333325e-07,3.6929493749999985e-07
22,20,0,5,2,14,32.768,38614,2.4133750000000003,1.6775220700636954e-06,4.3687025477707e-07
23,20,0,5,3,14,32.768,31188,1.9492500000000001,1.6378607217391296e-06,6.180694782608694e-07
24,20,0,6,0,14,32.768,71152,4.447,4.26978365e-06,4.3658505500000003e-07
25,20,0,6,1,14,32.768,50318,3.144875,2.181307198630135e-06,4.2539597260273974e-07
26,20,0,6,2,14,32.768,37252,2.32825,1.8425868609625669e-06,5.034855347593581e-07
27,20,0,6,3,14,32.768,1,6.25e-05,1.7524678427672964e-06,5.004614213836478e-07
28,20,0,7,0,14,32.768,0,0.0,1.7599852284263952e-07,-1.434199035532994e-07
29,20,0,7,1,14,32.768,0,0.0,1.8450906511627901e-07,2.0381673488372082e-07
30,20,0,7,2,14,32.768,55214,3.450875,1.7826138435754191e-06,4.970565474860335e-07
31,20,0,7,3,14,32.768,44251,2.7656875,2.1154255960264903e-06,5.081112913907283e-07
32,20,1,0,0,7,32.768,1,0.008,2.1633612290076324e-06,7.727257328244276e-07
33,20,1,0,1,7,32.768,0,0.0,1.7903150241545892e-07,1.3562625652173917e-06
34,20,1,0,2,7,32.768,0,0.0,1.891343399999998e-07,1.8466127150000003e-06
35,20,1,0,3,7,32.768,0,0.0,1.6312645e-07,1.310578624999999e-06
36,20,1,1,0,7,32.768,0,0.0,2.0133199999999989e-07,4.003899657894736e-06
37,20,1,1,1,7,32.768,0,0.0,1.8071680555555573e-07,2.4788080666666655e-06
38,20,1,1,2,7,32.768,0,0.0,1.8874614204545454e-07,4.619549948863637e-06
39,20,1,1,3,7,32.768,1,0.008,2.3520648190476188e-06,1.3185083714285715e-06
40,20,1,2,0,7,32.768,1,0.008,2.233131227642278e-06,2.733404585365852e-06
41,20,1,2,1,7,32.768,1,0.008,2.3106429999999992e-06,1.8144775612244904e-06
42,20,1,2,2,7,32.768,1,0.008,2.5095591505376346e-06,6.528712688172044e-07
43,20,1,2,3,7,32.768,0,0.0,1.8062647159090893e-07,2.8233540909090913e-06
