,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),VDD (V),Ivdd (A),Pvdd (W),VDD1v8 (V),Ivdd1v8 (A),Pvdd1v8 (W)
0,-20,0,0,0,14,32.768,15452,0.96575,2.999948235294117,2.451668294117647e-06,7.355031565476471e-06,1.1999764117647058,1.1174314235294117e-05,1.3409466849817566e-05
1,-20,0,0,1,14,32.768,15767,0.9854375,2.9998909999999994,1.6762951e-06,5.028816913542801e-06,1.2000021399999994,1.1794870000000006e-05,1.4153870440557997e-05
2,-20,0,0,2,14,32.768,1,6.25e-05,2.9998183333333333,1.0915006875e-06,3.274465231651459e-06,1.2000116249999997,1.1861358333333335e-05,1.423377146895e-05
3,-20,0,0,3,14,32.768,0,0.0,2.999985660377359,1.5511856603773578e-07,4.653594590224527e-07,1.1999999433962265,1.2071411320754719e-05,1.4485711626809432e-05
4,-20,0,1,0,14,32.768,25942,1.621375,2.9999215686274505,2.0146015294117653e-06,6.043790491871569e-06,1.200005196078431,1.191476470588235e-05,1.4297790490933335e-05
5,-20,0,1,1,14,32.768,1,6.25e-05,2.999863000000001,1.7742140599999996e-06,5.322625246324998e-06,1.2000207400000003,1.1765439999999994e-05,1.4118773050021999e-05
6,-20,0,1,2,14,32.768,1,6.25e-05,2.9998146938775503,1.6149622448979587e-06,4.844845622569183e-06,1.2000085306122448,1.1660804081632654e-05,1.3993060452991835e-05
7,-20,0,1,3,14,32.768,0,0.0,2.9999922641509436,2.2963730188679248e-07,6.889202920928304e-07,1.200000943396227,1.1826720754716986e-05,1.4192084857971695e-05
8,-20,0,2,0,14,32.768,25820,1.61375,2.99992326923077,1.4098977500000001e-06,4.229670965572885e-06,1.2000007884615387,1.187135384615385e-05,1.424562895693654e-05
9,-20,0,2,1,14,32.768,0,0.0,2.999992264150945,1.401907169811321e-07,4.2057545646830186e-07,1.1999982641509437,1.1787441509433963e-05,1.4144931862675473e-05
10,-20,0,2,2,14,32.768,0,0.0,2.999987692307693,9.78513076923077e-08,2.935570770748077e-07,1.2000106923076923,1.2182674999999998e-05,1.4619356403025e-05
11,-20,0,2,3,14,32.768,0,0.0,3.0000066037735857,2.1472175471698117e-07,6.441714134820756e-07,1.1999891320754712,1.1571201886792453e-05,1.3885339438467922e-05
12,-20,0,3,0,14,32.768,0,0.0,2.9999975471698117,2.1407200000000007e-07,6.422205299462264e-07,1.1999852641509434,1.1584611320754719e-05,1.3901384743905664e-05
13,-20,0,3,1,14,32.768,0,0.0,2.9999930188679245,1.945951698113207e-07,5.837882801449055e-07,1.1999947169811322,1.187480943396226e-05,1.424972702678679e-05
14,-20,0,3,2,14,32.768,0,0.0,2.9999920754716984,1.2912986792452832e-07,3.873931746467925e-07,1.2000023396226418,1.1711349056603776e-05,1.4053671732681134e-05
15,-20,0,3,3,14,32.768,0,0.0,2.9999813207547166,8.412528301886796e-08,2.5237922210528304e-07,1.2000048679245283,1.192925849056604e-05,1.4315189780639621e-05
16,-20,0,4,0,14,32.768,0,0.0,2.999978867924529,1.1581820754716983e-07,3.474629348260378e-07,1.200016018867925,1.1945001886792448e-05,1.4334212264464154e-05
17,-20,0,4,1,14,32.768,1214,0.075875,2.9999003921568623,1.2453142745098038e-06,3.7359363718135294e-06,1.1999953529411767,1.1908592156862744e-05,1.4290269150260783e-05
18,-20,0,4,2,14,32.768,1182,0.073875,2.9999319230769235,1.5046173076923077e-06,4.513876677869616e-06,1.200006807692308,1.1822098076923078e-05,1.4186605177307699e-05
19,-20,0,4,3,14,32.768,991,0.0619375,2.999856666666666,1.1924289607843136e-06,3.5773097995613737e-06,1.2000098627450984,1.1809180392156867e-05,1.4171134606121566e-05
20,-20,0,5,0,14,32.768,1696,0.106,2.999887115384615,6.889451153846153e-07,2.0668230843732685e-06,1.200005403846154,1.1925915384615379e-05,1.4311174972632692e-05
21,-20,0,5,1,14,32.768,1829,0.1143125,2.9998900000000006,1.620712039215686e-06,4.862111510823529e-06,1.200010274509804,1.1680496078431372e-05,1.4016717121088231e-05
22,-20,0,5,2,14,32.768,1729,0.1080625,2.9998873999999995,1.8859799399999999e-06,5.658104188828801e-06,1.20001294,1.1895064e-05,1.4274231794454002e-05
23,-20,0,5,3,14,32.768,1233,0.0770625,2.9998839215686273,5.702280588235294e-07,1.710655480560392e-06,1.1999966078431372,1.2131517647058825e-05,1.455778085459607e-05
24,-20,0,6,0,14,32.768,14,0.000875,2.9999994339622633,1.6699020754716984e-07,5.00976634926981e-07,1.1999926037735849,1.1767035849056609e-05,1.4120380736075471e-05
25,-20,0,6,1,14,32.768,1,6.25e-05,2.9997491489361696,4.910544893617022e-07,1.4730981713914897e-06,1.2000167872340428,1.1773482978723405e-05,1.412837354164468e-05
26,-20,0,6,2,14,32.768,0,0.0,2.9999998113207544,1.8731081132075476e-07,5.619381268337736e-07,1.1999994905660378,1.1766758490566037e-05,1.4120124524609432e-05
27,-20,0,6,3,14,32.768,1202,0.075125,2.999910784313725,1.023022019607843e-06,3.0690708784305875e-06,1.19999468627451,1.1818217647058824e-05,1.4181803878041172e-05
28,-20,0,7,0,14,32.768,1,6.25e-05,2.9998142857142853,1.0608902448979592e-06,3.182628272631837e-06,1.2000176530612243,1.175718775510204e-05,1.4108824491342859e-05
29,-20,0,7,1,14,32.768,0,0.0,2.9999841509433964,8.542030188679245e-08,2.562652090279245e-07,1.2000043773584905,1.1900796226415087e-05,1.4281028410973584e-05
30,-20,0,7,2,14,32.768,2083,0.1301875,2.9999142307692304,6.980758461538459e-07,2.0942248921473082e-06,1.1999980000000001,1.193133076923077e-05,1.4317587157471156e-05
31,-20,0,7,3,14,32.768,1387,0.0866875,2.999885576923077,2.8073376923076927e-07,8.421795673305769e-07,1.1999944423076925,1.1982430769230766e-05,1.4378873437825001e-05
32,-20,1,0,0,7,32.768,0,0.0,2.999989433962264,1.323572075471698e-07,3.97074998924151e-07,1.19999779245283,1.2262109433962267e-05,1.4714526192447165e-05
33,-20,1,0,1,7,32.768,0,0.0,2.9999862264150936,1.538633773584905e-07,4.6159480306886775e-07,1.200001452830189,1.2174033962264152e-05,1.460886349560566e-05
34,-20,1,0,2,7,32.768,1,0.008,2.9997782978723397,9.78905574468085e-07,2.9369261036617014e-06,1.2000208723404255,1.1993131914893617e-05,1.4392022679542554e-05
35,-20,1,0,3,7,32.768,0,0.0,2.9999879245283014,8.774981132075465e-08,2.6325775119056593e-07,1.1999943584905661,1.2306328301886796e-05,1.476755114952642e-05
36,-20,1,1,0,7,32.768,1,0.008,2.9998832000000015,1.83900054e-06,5.516980145198001e-06,1.20000922,1.2390160000000001e-05,1.4868307656394e-05
37,-20,1,1,1,7,32.768,0,0.0,2.9999869811320763,1.7541064150943391e-07,5.262342269477357e-07,1.200000547169811,1.2634456603773588e-05,1.5161380929656602e-05
38,-20,1,1,2,7,32.768,0,0.0,2.999984905660377,1.4936801886792452e-07,4.4810975565471694e-07,1.200008075471698,1.2875960377358493e-05,1.545127789870943e-05
39,-20,1,1,3,7,32.768,1,0.008,2.9998074999999997,1.1556659791666666e-06,3.4669858724925005e-06,1.2000169791666666,1.2562883333333333e-05,1.5075675935935418e-05
40,-20,1,2,0,7,32.768,1,0.008,2.9999956603773588,3.253785094339622e-06,9.76137971927359e-06,1.2000015660377357,1.2530011320754718e-05,1.503604221503396e-05
41,-20,1,2,1,7,32.768,1,0.008,2.9998248979591833,1.349354510204081e-06,4.048043849562858e-06,1.2000142448979592,1.2527661224489796e-05,1.5033370210926529e-05
42,-20,1,2,2,7,32.768,1,0.008,2.999773829787233,6.940063617021277e-07,2.0822060898087243e-06,1.2000263829787232,1.2605429787234041e-05,1.512685740162553e-05
43,-20,1,2,3,7,32.768,0,0.0,2.9999983018867926,2.0432464150943396e-07,6.129759272403774e-07,1.1999936226415093,1.2547432075471702e-05,1.5056856366430191e-05
44,-20,1,3,0,7,32.768,0,0.0,2.9999919230769234,2.317244423076923e-07,6.951751196594233e-07,1.1999955,1.2718028846153845e-05,1.5261586285857694e-05
45,-20,1,3,1,7,32.768,1,0.008,2.999728913043478,3.059817608695652e-07,9.178663686876086e-07,1.2000240217391305,1.279434782608696e-05,1.535351497337826e-05
46,-20,1,3,2,7,32.768,1,0.008,2.9997887234042553,9.453134893617021e-07,2.8358722934697873e-06,1.2000205531914894,1.2556955319148935e-05,1.506861128984894e-05
47,-20,1,3,3,7,32.768,0,0.0,2.9999924999999994,1.7137571153846154e-07,5.141294212182694e-07,1.1999905192307692,1.2734936538461534e-05,1.5281815651930767e-05
48,-20,1,4,0,7,32.768,0,0.0,2.9999864150943414,1.4018435849056602e-07,4.2055936820830196e-07,1.1999955471698112,1.1891490566037738e-05,1.4269753328458487e-05
49,-20,1,4,1,7,32.768,1,0.008,2.999826122448979,1.2713839387755105e-06,3.8141061733775513e-06,1.2000080612244897,1.1936655102040816e-05,1.4324085282565303e-05
50,-20,1,4,2,7,32.768,0,0.0,2.999988867924528,1.0178732075471699e-07,3.0536931101905663e-07,1.1999961886792452,1.2126298113207548e-05,1.4551537376862266e-05
51,-20,1,4,3,7,32.768,0,0.0,2.999994339622641,1.351180943396226e-07,4.053615188820753e-07,1.1999906226415096,1.2131435849056605e-05,1.4557623808392453e-05
52,-20,1,5,0,7,32.768,0,0.0,2.9999943396226407,1.5664237735849055e-07,4.6993173131754726e-07,1.1999974905660378,1.2196715094339622e-05,1.4636043900711325e-05
53,-20,1,5,1,7,32.768,1,0.008,2.9998740816326523,1.8463322857142854e-06,5.53895705272388e-06,1.2000025102040812,1.2117277551020411e-05,1.4540765069965317e-05
54,-20,1,5,2,7,32.768,1,0.008,2.99977744680851,5.135061489361702e-07,1.5404506061304258e-06,1.2000148085106381,1.2259274468085106e-05,1.4711320040457447e-05
55,-20,1,5,3,7,32.768,0,0.0,2.9999930188679254,1.6116949056603774e-07,4.835117724190566e-07,1.199999471698113,1.2084722641509434e-05,1.4501675617535857e-05
56,-20,1,6,0,7,32.768,1,0.008,2.9998367346938766,1.5463523673469388e-06,4.639005120751021e-06,1.2000160816326528,1.2218383673469388e-05,1.4662259799704088e-05
57,-20,1,6,1,7,32.768,0,0.0,2.999999622641509,1.3312418867924532e-07,3.993827418360377e-07,1.1999948113207546,1.2194733962264147e-05,1.4633643311222642e-05
58,-20,1,6,2,7,32.768,0,0.0,2.999984528301888,8.444049056603776e-08,2.533239999284906e-07,1.2000021132075476,1.2515298113207552e-05,1.5018411032094346e-05
59,-20,1,6,3,7,32.768,0,0.0,2.9999939622641505,1.473599811320755e-07,4.420887605418868e-07,1.199995264150943,1.2128749056603777e-05,1.4554458666243393e-05
60,-20,1,7,0,7,32.768,1,0.008,2.9998805999999996,1.98182114e-06,5.9454441071052e-06,1.2000033799999996,1.2483725999999998e-05,1.4980511248306001e-05
61,-20,1,7,1,7,32.768,1,0.008,2.9999060784313727,2.2158679803921573e-06,6.647609660020784e-06,1.2000014117647058,1.2231684313725489e-05,1.4678042368529413e-05
62,-20,1,7,2,7,32.768,0,0.0,2.999982830188679,1.1890896226415095e-07,3.567273382554719e-07,1.1999987547169808,1.2474196226415094e-05,1.496904105721132e-05
63,-20,1,7,3,7,32.768,0,0.0,2.9999932075471705,1.7225056603773586e-07,5.167539194624529e-07,1.2000020754716982,1.2369277358490565e-05,1.4843180923913209e-05
