,temp,design,group,inst,CTR,FreqRef (kHz),DOUT,Freq (kHz),VDD (V),Ivdd (A),Pvdd (W),VDD1v8 (V),Ivdd1v8 (A),Pvdd1v8 (W)
0,-20,0,0,0,14,32.768,14953,0.9345625000000001,2.9999680281690146,2.5851615633802816e-06,7.755532204998871e-06,1.199987521126761,2.8132859999999994e-06,3.375952849749972e-06
1,-20,0,0,1,14,32.768,15268,0.95425,2.9999254929577472,1.9665933943661972e-06,5.899816632539154e-06,1.199995197183098,2.9645791549295775e-06,3.55748863101183e-06
2,-20,0,0,2,14,32.768,1,6.25e-05,2.9999773611111107,3.2343376944444452e-06,9.703036485456803e-06,1.2000057777777777,3.0509405555555563e-06,3.6611520554047225e-06
3,-20,0,0,3,14,32.768,0,0.0,2.999987671232877,2.249098630136986e-07,6.747346590467123e-07,1.2000020821917807,2.9255163013698624e-06,3.5106420563794525e-06
4,-20,0,1,0,14,32.768,25156,1.57225,2.999951126760564,2.1992693521126753e-06,6.597825018523241e-06,1.200000295774648,3.053889718309859e-06,3.6646740223526755e-06
5,-20,0,1,1,14,32.768,1,6.25e-05,2.9997864285714284,8.609239285714287e-07,2.5827059561330005e-06,1.2000142142857138,3.013822857142857e-06,3.616632569987572e-06
6,-20,0,1,2,14,32.768,1,6.25e-05,2.999825,1.2853440142857144e-06,3.855981154883428e-06,1.2000123142857144,3.128053285714285e-06,3.753706368439715e-06
7,-20,0,1,3,14,32.768,0,0.0,2.999972499999999,1.2470851388888888e-07,3.7412666180125006e-07,1.200000152777778,2.935345833333334e-06,3.5224358462855566e-06
8,-20,0,2,0,14,32.768,24851,1.5531875,2.999907183098591,1.1661819859154926e-06,3.498568919567888e-06,1.1999947887323945,3.201648450704226e-06,3.841966880199015e-06
9,-20,0,2,1,14,32.768,0,0.0,2.9999880821917806,1.0848331506849312e-07,3.254568136957534e-07,1.1999934520547941,3.087069041095891e-06,3.7044816925465767e-06
10,-20,0,2,2,14,32.768,0,0.0,2.9999984507042248,1.6600150704225357e-07,4.980105207739435e-07,1.20000338028169,3.089056338028168e-06,3.7068979183594366e-06
11,-20,0,2,3,14,32.768,0,0.0,2.999993750000001,1.236722083333333e-07,3.710211853673612e-07,1.200005708333334,3.1012184722222218e-06,3.7214995143826382e-06
12,-20,0,3,0,14,32.768,0,0.0,2.9999841666666667,1.6812155555555557e-07,5.043690352188891e-07,1.2000006527777776,3.2114780555555543e-06,3.853790723945138e-06
13,-20,0,3,1,14,32.768,0,0.0,2.99999875,1.9466194444444442e-07,5.839955700179164e-07,1.200004847222222,3.0659851388888883e-06,3.679215061168194e-06
14,-20,0,3,2,14,32.768,0,0.0,2.999990136986301,1.7177527397260275e-07,5.153314237383562e-07,1.2000011369863017,3.1986657534246576e-06,3.8384188599935615e-06
15,-20,0,3,3,14,32.768,0,0.0,2.999980985915493,1.7529688732394362e-07,5.258913078022536e-07,1.199994929577465,2.998620985915492e-06,3.5983491759152124e-06
16,-20,0,4,0,14,32.768,0,0.0,2.9999838028169017,1.2226766197183103e-07,3.6681075306704215e-07,1.200002887323944,3.169761830985916e-06,3.803739118480281e-06
17,-20,0,4,1,14,32.768,1171,0.0731875,2.999929295774648,1.5067270281690143e-06,4.52019589087662e-06,1.1999982816901404,3.1310564788732396e-06,3.7572683495247893e-06
18,-20,0,4,2,14,32.768,1142,0.07137500000000001,2.9999014084507047,1.3136671830985913e-06,3.941020944051971e-06,1.1999924366197188,3.107828169014085e-06,3.729376067138169e-06
19,-20,0,4,3,14,32.768,933,0.0583125,2.999877183098591,9.998532676056338e-07,2.999602508690423e-06,1.200004154929578,3.1999033802816897e-06,3.839905094307748e-06
20,-20,0,5,0,14,32.768,1632,0.10200000000000001,2.9998960563380277,5.808308732394367e-07,1.7425033074453522e-06,1.1999844225352112,3.009980845070422e-06,3.6119371993415496e-06
21,-20,0,5,1,14,32.768,1764,0.11025,2.99992338028169,1.9635806197183104e-06,5.89076104435803e-06,1.1999981267605637,2.9670647887323948e-06,3.5604749880928165e-06
22,-20,0,5,2,14,32.768,1678,0.104875,2.999933239436619,2.3219708732394372e-06,6.965918409709436e-06,1.200006211267606,3.004005774647888e-06,3.6048304746988733e-06
23,-20,0,5,3,14,32.768,1188,0.07425,2.9998912676056335,5.534732112676055e-07,1.6603918783902825e-06,1.1999980845070422,3.2368347887323943e-06,3.884203615944648e-06
24,-20,0,6,0,14,32.768,9,0.0005625000000000001,2.999983150684931,1.1588171232876712e-07,3.476461405672602e-07,1.200007890410959,3.048221506849314e-06,3.657905369229178e-06
25,-20,0,6,1,14,32.768,1,6.25e-05,2.999740869565218,3.9333026086956517e-07,1.1799113679221736e-06,1.2000224057971016,3.079160724637681e-06,3.695060232875942e-06
26,-20,0,6,2,14,32.768,0,0.0,2.9999883333333326,1.6854516666666662e-07,5.056407134729167e-07,1.200006736111111,3.2066705555555564e-06,3.8480463325634745e-06
27,-20,0,6,3,14,32.768,1158,0.072375,2.999885211267605,8.177000845070423e-07,2.4530984979821125e-06,1.2000002253521131,3.004805915492957e-06,3.6057739254198607e-06
28,-20,0,7,0,14,32.768,1,6.25e-05,2.999837285714286,1.6793402428571423e-06,5.038044549529143e-06,1.2000118142857144,2.955877571428571e-06,3.5470936580835725e-06
29,-20,0,7,1,14,32.768,0,0.0,2.9999752777777773,5.737093055555556e-08,1.7211642214722224e-07,1.2000102916666662,3.157655972222222e-06,3.7892320707640277e-06
30,-20,0,7,2,14,32.768,2003,0.1251875,2.9998864788732393,4.237750563380281e-07,1.2713199483095771e-06,1.2000009295774645,3.052105633802817e-06,3.6625431177263364e-06
